Acceleration,Velocity,Orientation,Obstacle,GPS
"[0.00930056, -0.017082036, 0.00019454956]","[8.25665, -3.848035, 1.5156491]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.008675337, 0.018638372, 0.03229332]","[8.26987, -3.817367, 1.5196061]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.008744657, 0.022202253, 0.0018959045]","[8.253235, -3.8556485, 1.5235434]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.013238758, -0.03067106, 0.0067863464]","[8.264465, -3.8298335, 1.52137]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0062155724, -0.02820307, 0.007631302]","[8.258606, -3.8434017, 1.5199693]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.01935865, 0.019611299, 0.014278412]","[8.25308, -3.8557963, 1.531028]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.00011211634, 0.006903112, -0.0050411224]","[8.25119, -3.8606064, 1.5163096]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.011647463, -0.036614895, 0.013384819]","[8.25452, -3.8529186, 1.5163245]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.058395684, -0.07291716, 0.04925537]","[8.27185, -3.8122303, 1.5379338]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.044364452, 0.037751675, -0.005443573]","[8.26996, -3.817126, 1.5196421]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.012892485, -0.019002497, -0.006500244]","[8.26459, -3.8298097, 1.5107164]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.026805252, 0.0069743395, -0.0072984695]","[8.25757, -3.8458211, 1.5184923]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.03724584, -0.04095006, 0.022806168]","[8.25635, -3.8485842, 1.5191755]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.036247656, 0.03786534, 0.023867607]","[8.25781, -3.8452466, 1.518093]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.009098649, -0.018933892, 0.019532204]","[8.263885, -3.831281, 1.5166059]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0063894093, -0.0057010055, -0.004839897]","[8.2677, -3.8223767, 1.5188311]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0058813393, 0.009643912, 0.007358551]","[8.27045, -3.8160276, 1.5215341]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.020606339, 0.00062662363, -0.00038909912]","[8.27817, -3.7985132, 1.5098271]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
